Virus_Name	Variant	EPI_ISL_ID
hCoV-19/USA/WA-S12563/2021	Delta	EPI_ISL_5329370
hCoV-19/USA/WA-S12564/2021	Delta	EPI_ISL_5329277
hCoV-19/USA/WA-S12568/2021	Delta	EPI_ISL_5329155
hCoV-19/USA/WA-S12567/2021	Delta	EPI_ISL_5329154
hCoV-19/USA/WA-S12566/2021	Delta	EPI_ISL_5329332
hCoV-19/USA/WA-S12569/2021	Delta	EPI_ISL_5329372
hCoV-19/USA/WA-S12570/2021	Delta	EPI_ISL_5329208
hCoV-19/USA/WA-S12572/2021	Delta	EPI_ISL_5329156
hCoV-19/USA/WA-S12867/2021	Delta	EPI_ISL_5629257
hCoV-19/USA/WA-S12573/2021	Delta	EPI_ISL_5329157
hCoV-19/USA/WA-S11617/2021	Delta	EPI_ISL_4636331
hCoV-19/USA/WA-S12576/2021	Delta	EPI_ISL_5329425
hCoV-19/USA/WA-S12577/2021	Delta	EPI_ISL_5329158
hCoV-19/USA/WA-S12575/2021	Delta	EPI_ISL_5329352
hCoV-19/USA/WA-S12574/2021	Delta	EPI_ISL_5329301
hCoV-19/USA/WA-S12580/2021	Delta	EPI_ISL_5329419
hCoV-19/USA/WA-S12578/2021	Delta	EPI_ISL_5329251
hCoV-19/USA/WA-S12579/2021	Delta	EPI_ISL_5329326
hCoV-19/USA/WA-S12581/2021	Delta	EPI_ISL_5329426
hCoV-19/USA/WA-S12899/2021	Delta	EPI_ISL_5629289
hCoV-19/USA/WA-S12030/2021	Delta	EPI_ISL_4873599
hCoV-19/USA/WA-S12034/2021	Delta	EPI_ISL_4874250
hCoV-19/USA/WA-S12033/2021	Delta	EPI_ISL_4873513
hCoV-19/USA/WA-S12037/2021	Delta	EPI_ISL_4873530
hCoV-19/USA/WA-S12582/2021	Delta	EPI_ISL_5329159
hCoV-19/USA/WA-S12035/2021	Delta	EPI_ISL_4873523
hCoV-19/USA/WA-S12038/2021	Delta	EPI_ISL_4873531
hCoV-19/USA/WA-S12586/2021	Delta	EPI_ISL_5329428
hCoV-19/USA/WA-S12585/2021	Delta	EPI_ISL_5329160
hCoV-19/USA/WA-S12591/2021	Delta	EPI_ISL_5329293
hCoV-19/USA/WA-S12602/2021	Delta	EPI_ISL_5329165
